"DUTNPDI Log Mag"
"Freq (Hz)","dBm",
50000000, -1.516214e+002,
53250000, -1.511567e+002,
56500000, -1.508465e+002,
59750000, -1.506452e+002,
63000000, -1.504739e+002,
66250000, -1.503577e+002,
69500000, -1.502498e+002,
72750000, -1.502274e+002,
76000000, -1.501686e+002,
79250000, -1.501586e+002,
82500000, -1.501059e+002,
85750000, -1.501144e+002,
89000000, -1.500772e+002,
92250000, -1.500467e+002,
95500000, -1.499741e+002,
98750000, -1.499754e+002,
102000000, -1.499255e+002,
105250000, -1.498500e+002,
108500000, -1.498642e+002,
111750000, -1.498701e+002,
115000000, -1.498083e+002,
118250000, -1.498464e+002,
121500000, -1.498154e+002,
124750000, -1.498166e+002,
128000000, -1.497939e+002,
131250000, -1.497917e+002,
134500000, -1.498097e+002,
137750000, -1.498070e+002,
141000000, -1.498214e+002,
144250000, -1.498500e+002,
147500000, -1.498621e+002,
150750000, -1.498454e+002,
154000000, -1.498845e+002,
157250000, -1.498989e+002,
160500000, -1.499405e+002,
163750000, -1.499548e+002,
167000000, -1.499987e+002,
170250000, -1.500322e+002,
173500000, -1.500771e+002,
176750000, -1.500986e+002,
180000000, -1.501066e+002,
183250000, -1.501388e+002,
186500000, -1.501626e+002,
189750000, -1.501821e+002,
193000000, -1.502110e+002,
196250000, -1.502701e+002,
199500000, -1.503027e+002,
202750000, -1.503651e+002,
206000000, -1.504026e+002,
209250000, -1.504510e+002,
212500000, -1.504724e+002,
215750000, -1.505132e+002,
219000000, -1.504803e+002,
222250000, -1.504908e+002,
225500000, -1.505048e+002,
228750000, -1.505646e+002,
232000000, -1.505853e+002,
235250000, -1.506205e+002,
238500000, -1.506690e+002,
241750000, -1.507152e+002,
245000000, -1.507552e+002,
248250000, -1.508231e+002,
251500000, -1.508235e+002,
254750000, -1.508253e+002,
258000000, -1.508193e+002,
261250000, -1.508763e+002,
264500000, -1.508759e+002,
267750000, -1.509165e+002,
271000000, -1.509294e+002,
274250000, -1.509491e+002,
277500000, -1.509865e+002,
280750000, -1.510180e+002,
284000000, -1.510365e+002,
287250000, -1.510189e+002,
290500000, -1.510649e+002,
293750000, -1.510521e+002,
297000000, -1.510747e+002,
300250000, -1.511449e+002,
303500000, -1.511675e+002,
306750000, -1.512039e+002,
310000000, -1.511835e+002,
313250000, -1.512421e+002,
316500000, -1.512386e+002,
319750000, -1.512349e+002,
323000000, -1.512372e+002,
326250000, -1.512575e+002,
329500000, -1.512697e+002,
332750000, -1.512923e+002,
336000000, -1.513119e+002,
339250000, -1.513446e+002,
342500000, -1.513763e+002,
345750000, -1.514041e+002,
349000000, -1.514360e+002,
352250000, -1.513915e+002,
355500000, -1.513750e+002,
358750000, -1.513998e+002,
362000000, -1.514036e+002,
365250000, -1.514193e+002,
368500000, -1.514689e+002,
371750000, -1.514418e+002,
375000000, -1.514712e+002,
378250000, -1.514864e+002,
381500000, -1.514841e+002,
384750000, -1.515094e+002,
388000000, -1.515303e+002,
391250000, -1.515488e+002,
394500000, -1.515305e+002,
397750000, -1.515627e+002,
401000000, -1.516005e+002,
404250000, -1.515779e+002,
407500000, -1.516233e+002,
410750000, -1.516170e+002,
414000000, -1.516228e+002,
417250000, -1.516354e+002,
420500000, -1.516436e+002,
423750000, -1.516870e+002,
427000000, -1.516822e+002,
430250000, -1.517142e+002,
433500000, -1.517571e+002,
436750000, -1.517860e+002,
440000000, -1.518131e+002,
443250000, -1.518204e+002,
446500000, -1.518562e+002,
449750000, -1.518684e+002,
453000000, -1.518663e+002,
456250000, -1.518734e+002,
459500000, -1.519053e+002,
462750000, -1.519849e+002,
466000000, -1.520103e+002,
469250000, -1.520504e+002,
472500000, -1.520968e+002,
475750000, -1.521214e+002,
479000000, -1.521663e+002,
482250000, -1.521909e+002,
485500000, -1.522206e+002,
488750000, -1.522362e+002,
492000000, -1.522653e+002,
495250000, -1.523350e+002,
498500000, -1.523685e+002,
501750000, -1.524113e+002,
505000000, -1.525056e+002,
508250000, -1.525239e+002,
511500000, -1.525646e+002,
514750000, -1.526359e+002,
518000000, -1.526954e+002,
521250000, -1.527307e+002,
524500000, -1.527924e+002,
527750000, -1.528263e+002,
531000000, -1.529202e+002,
534250000, -1.529722e+002,
537500000, -1.529998e+002,
540750000, -1.530632e+002,
544000000, -1.531275e+002,
547250000, -1.531616e+002,
550500000, -1.532140e+002,
553750000, -1.532797e+002,
557000000, -1.533435e+002,
560250000, -1.534132e+002,
563500000, -1.535098e+002,
566750000, -1.535667e+002,
570000000, -1.536207e+002,
573250000, -1.536407e+002,
576500000, -1.537112e+002,
579750000, -1.537661e+002,
583000000, -1.538042e+002,
586250000, -1.538330e+002,
589500000, -1.539175e+002,
592750000, -1.539882e+002,
596000000, -1.540774e+002,
599250000, -1.541327e+002,
602500000, -1.542174e+002,
605750000, -1.542682e+002,
609000000, -1.543256e+002,
612250000, -1.543235e+002,
615500000, -1.544151e+002,
618750000, -1.544519e+002,
622000000, -1.544825e+002,
625250000, -1.545323e+002,
628500000, -1.545635e+002,
631750000, -1.546107e+002,
635000000, -1.546662e+002,
638250000, -1.547210e+002,
641500000, -1.547385e+002,
644750000, -1.547669e+002,
648000000, -1.547760e+002,
651250000, -1.548143e+002,
654500000, -1.548900e+002,
657750000, -1.549884e+002,
661000000, -1.549715e+002,
664250000, -1.550165e+002,
667500000, -1.550332e+002,
670750000, -1.550230e+002,
674000000, -1.550417e+002,
677250000, -1.550135e+002,
680500000, -1.550676e+002,
683750000, -1.550479e+002,
687000000, -1.550865e+002,
690250000, -1.550875e+002,
693500000, -1.551467e+002,
696750000, -1.551482e+002,
700000000, -1.551446e+002,
